,index,Unnamed: 0,sentence_id,words,labels
106,106,10179,18420,all iy achin .,v
107,107,14315,18393,Ñ u qan chik qa,pron.
108,108,2978,11194,¡ Ch it akunata,s
109,109,11744,19985,unquy wan,s
110,110,2140,10347,M is iqa,s
111,111,14335,22576,taw ayuq,adj.
112,112,12448,20689,kaw all ut apas,s
113,113,13990,22231,kay,adj.
114,114,2830,11046,Chu piqa,s
115,115,5918,14159,q' ap iy niyuq,adj.
116,116,14770,23011,ukhu man,adj.
117,117,2719,10934,I l am kaq,s
118,118,7144,15385,H am pi ku q,s
119,119,12227,20468,allin .,adj.
120,120,2673,10888,puka,adj.
121,121,9183,17424,U w i ha,s
122,122,12747,20988,mas int in,adj.
123,123,5302,13534,¡ All ip uni,adj.
124,124,2639,10854,P is ill atam,adj.
125,125,9929,18170,mañ akuspa,v
126,126,10197,18438,pis illa,det.
127,127,2240,10449,nan ay wanmi,s
128,128,12076,20317,"ay san a,",v
129,129,14728,22969,q añ iw a,s
130,130,489,8683,ay s akuch kan.,v
131,131,7112,15353,m ach ' aq w ay,s
132,132,11237,19478,pall an a.,v
133,133,1837,10042,aku wanmi,s
134,134,1532,9737,K ir unch ik taqa,s
135,135,14620,22861,kuch uy ku kus p aqa,adj.
136,136,13586,21827,Apu,s
137,137,3823,12045,taq ll akunku.,v
138,138,8494,16735,tawa,det.
139,139,8855,17096,All qu qa,s
140,140,15352,23593,sapa,adv.
141,141,9715,17956,rur anchik.,v
142,142,8434,16675,mañ arikun a.,s
143,143,12938,21179,w ay,adj.
144,144,7647,15888,h ill p' uy kuy .,v
145,145,3590,11810,s ip as ll ar aqmi.,adj.
146,146,7308,15549,uk h unch ik ta,s
147,147,4007,12230,ur uta,s
148,148,15176,23417,k' ur p atapas,s
149,149,7026,15267,allp amanta,s
150,150,1544,9749,mi kur qan kich u ?,v
151,151,14778,23019,run t un pi,s
152,152,11642,19883,M u ñ a,s
153,153,14331,22572,suyu cha,s
154,154,6957,15198,Allin,adj.
155,155,13023,21264,"mir ach in,",v
156,156,5024,13250,"aw as aq mi,",v
157,157,11651,19892,tayta,s
158,158,5178,13410,wak a,s
159,159,2998,11214,p unch aw mi,s
160,160,3341,11560,pap ata,s
161,161,9909,18150,l aw ata,s
162,162,12417,20658,P is i,adv.
163,163,9289,17530,was int apas,s
164,164,4508,12731,wasich achkan ku.,v
165,165,14448,22689,q' ap isqa,adj.
166,166,1185,9382,illa,s
167,167,10662,18903,pichqa,det.
168,168,6338,14579,ur in.,v
169,169,11948,20189,kay,det.
170,170,3496,11716,¡ S in qan ta,s
171,171,13954,22195,puka,adj.
172,172,11921,20162,n ak ' aspa,v
173,173,9830,18071,pachapiqa,s
174,174,262,8452,A pach it aman,s
175,175,143,8329,y ar up asq am.,v
176,176,9051,13942,Ñ uq aqa,pron.
177,177,1130,9324,chak iy ki ta,s
178,178,9484,17725,H ay aq inch ik,s
179,179,15353,23594,qanchis,adj.
180,180,2450,10662,P aq ar in,s
181,181,15372,23613,P' is aq,s
182,182,13690,21931,"s an s achiq ku,",adj.
183,183,7271,15512,Waw akunaqa,s
184,184,9923,18164,y anq all amanta,adv.
185,185,12170,20411,ñaw in chay,v
186,186,6170,14411,chiri,s
187,187,2708,10923,Ll amp ull am,adj.
188,188,3881,12103,tin tin pa,s
189,189,15513,23754,s ul is,s
190,190,9564,17805,watayuq,s
191,191,5764,14005,Ch' ak iy mi,s
192,192,5253,13485,all qu,s
193,193,13111,21352,pata,s
194,194,4283,12506,s ip uy an ñ am.,v
195,195,14716,22957,h ak ' u lla,loc.
196,196,3802,12024,¡ T ant ata,s
197,197,11380,19621,llamk' arqanku.,v
198,198,15209,23450,ch ach aku ma,s
199,199,7706,15947,"ak an pas,",v
200,200,7046,15287,puka,adj.
201,201,1470,9675,t iq ti qa,s
202,202,5509,13746,allp aqa,s
203,203,7676,15917,r ut uch kas q a …,v
204,204,12037,20278,k' as piqa,s
205,205,1182,9379,yap amanta,adv.
206,206,3620,11840,war aytam,s
207,207,10322,18563,ll im p' ir quy .,v
208,208,2618,10833,kachkan.,v
209,209,943,9137,uch kuy .,v
210,210,3752,11973,¡ Chay ll api,adv.
211,211,3165,11381,kachkan.,v
212,212,3008,11224,¡ Man k ata,s
213,213,2411,10622,R u mi,s
214,214,8387,16628,runakunaqa,s
215,215,12722,20963,Huk,adj.
216,216,2338,10547,qan r ach achkan chik,s
217,217,625,8819,r ut uq mi,s
218,218,13468,21709,p hat an man.,v
219,219,4457,12680,Tar uk apa,s
220,220,12221,20462,nispa.,v
221,221,14528,22769,ant amant aña,adj.
222,222,13642,21883,runakuna,s
223,223,12640,20881,papa,s
224,224,9260,17501,kh ip uspa,v
225,225,9984,18225,par aptin pas,v
226,226,15293,23534,kill apim,s
227,227,1275,9472,haw api.,adv.
228,228,2549,10764,qar am u wan anta,v
229,229,14414,22655,san aw r it apas,s
230,230,5232,13464,m ik hu ll anchik.,v
231,231,14443,22684,q' api ku waq »,v
232,232,1898,10104,tayt ach at a hin aña,s
233,233,6659,14900,pachapiqa,s
234,234,4539,12762,yach anku,v
235,235,12347,20588,kall ant aqmi.,v
236,236,4018,12241,Kunan,adv.
237,237,3317,11535,chakr aqa,s
238,238,9030,17271,kaws anchik.,v
239,239,2533,10748,pas ñ akunata,s
240,240,3717,11938,yaku tam,s
241,241,335,8526,kan?,v
242,242,2700,10915,t im p ut iy am un.,v
243,243,6088,14329,chir imanta,s
244,244,10682,18923,m ak i,s
245,245,4627,12850,w il kach uq awanmi,s
246,246,12657,20898,ruru,s
247,247,5100,13327,"kas qaku,",v
248,248,8743,16984,kan cha,s
249,249,7618,15859,ap ukun aman,s
250,250,2334,10543,Ñ utu,adj.
251,251,6199,14440,kap usqa.,v
252,252,11020,19261,mas ach akun.,v
253,253,1710,9915,ll iw q ata,s
254,254,7459,15700,phiñ akuq,adj.
255,255,13343,21584,ph ich usq aqa,s
256,256,12302,20543,Chayraykum,conj.
257,257,9425,17666,mana,adv.
258,258,4565,12788,kuy uch isp allam,v
259,259,15206,23447,chayam uch kap tin si,v
260,260,14501,22742,"way k' un ku,",v
261,261,999,9193,kach u kus un.,v
262,262,3830,12052,nan an.,v
263,263,10851,19092,atip aq,v
264,264,8088,16329,wat ana,s
265,265,9339,17580,"ap arq un,",v
266,266,12402,20643,kin u wa,s
267,267,4261,12484,Puka,adj.
268,268,1442,9647,all arq uy .,v
269,269,1110,9304,M ul apa,s
270,270,4536,12759,A ch ka,adj.
271,271,13406,21647,A ch ka,adj.
272,272,11816,20057,rin r int ari ?,s
273,273,3465,11685,r ut unq aku .,v
274,274,12247,20488,l aw ach aqa,s
275,275,6818,15059,kuti,s
276,276,3160,11376,siq ay.,v
277,277,8585,16826,ch uk ch anqa,s
278,278,10664,18905,chay ray kut aq,conj.
279,279,7167,15408,"tayt á y,",s
280,280,4394,12617,P us ull u,s
281,281,4774,12998,Llapa,adj.
282,282,6439,14680,chayam ull anq apun im,v
283,283,4806,13030,mam anchik ta,s
284,284,1794,9999,llaq ll ay k uy .,v
285,285,3299,11517,quyllur hinam,s
286,286,955,9149,Ch uy a,adj.
287,287,2356,10565,P ak isqa,adj.
288,288,3041,11257,wiñ anmi.,v
289,289,3016,11232,kir us in i wan,s
290,290,15489,23730,qh ur u,adj.
291,291,10594,18835,q aqa,s
292,292,14045,22286,nispa.,v
293,293,13708,21949,p inku ll u kunata,s
294,294,4715,12938,wak ch akunatam,adj.
295,295,3231,11448,R u mi pi,s
296,296,451,8644,aw qan mi.,v
297,297,10072,18313,sunqu,s
298,298,6291,14532,Tayt ach anchik,s
299,299,13588,21829,pich it an k ataqa,s
300,300,4871,13095,y um arq unku.,v
301,301,14380,22621,W al t er,s
302,302,30,27346,Ñ uq ataq,pron.
303,303,3049,11265,mach an.,v
304,304,7448,15689,haw ir qu kuy .,v
305,305,4529,12752,ay s ak ach an am,v
306,306,11895,20136,"qall arin ,",v
307,307,14751,22992,ach ka,adj.
308,308,2742,10957,Waw apa,s
309,309,14043,22284,« q' iy am,s
310,310,4821,13045,allinta,adj.
311,311,6029,14270,ch' ir war q uspa,v
312,312,2344,10553,¡ Ll um p aytam,adj.
313,313,15294,23535,K' ana,s
314,314,4378,12601,mi ku kun .,v
315,315,8139,16380,ich hu mantapas,s
316,316,3402,11621,Waw ach akuna,s
317,317,15408,23649,allinchu,adv.
318,318,3963,12186,Uy w apa,s
319,319,5573,13814,q' ip in.,v
320,320,4207,12430,ur u,s
321,321,14598,18403,Ñ u qan chik qa,pron.
322,322,2820,11036,kap kach u.,adj.
323,323,7769,16010,waw akunataqa,s
324,324,3625,11845,sis anta,s
325,325,2085,10292,Am ahina,s
326,326,92,8278,Ama,adv.
327,327,5538,13777,irq ich akunaqa,s
328,328,13719,21960,t us un.,v
329,329,1605,9810,yachach isq ayki .,v
330,330,4561,12784,war awan,s
331,331,15050,23291,Chay,adj.
332,332,9950,18191,hampi w anchik.,v
333,333,13071,21312,yap amanta,adv.
334,334,3770,11991,sut inqa,s
335,335,13265,21506,Llaqta,s
336,336,8265,16506,mant ik illa,s
337,337,10185,18426,llaq w akuspa,v
338,338,15421,23662,phaw aq si,adv.
339,339,4781,13005,yach an.,v
340,340,9714,14612,Ñ uq aqa,pron.
341,341,13643,21884,wañ uq ninchik ta,adj.
342,342,8385,16626,P is i,det.
343,343,8586,16827,k' up a.,adj.
344,344,4773,12997,ham un ku.,v
345,345,1490,9695,rur achkan i.,v
346,346,2111,10318,P unch uy pa,s
347,347,10183,18424,all iy achin .,v
348,348,2195,10402,mun t ir antam,s
349,349,14232,22473,ña,adv.
350,350,9052,17293,"kik ill anmi,",s
351,351,7531,15772,sar a,s
352,352,13444,21685,"T it o,",s
353,353,6728,14969,Waw aqa,s
354,354,5500,13737,aq suy uq mi,s
355,355,3984,12207,wasiman,s
356,356,10399,18640,nispa.,v
357,357,345,8536,kawsay nin,s
358,358,7385,15626,maqan ayku kun ku.,v
359,359,7993,16234,r ut unch ik .,v
360,360,3204,11420,q aw asq am,s
361,361,11228,19469,U w i h ata,s
362,362,11521,19762,wiñ ap up aq,s
363,363,9951,18192,L iq i,s
364,364,10828,19069,pis irq us p aqa,v
365,365,5941,14182,tar pus qan chik qa,v
366,366,13849,22090,p' it ispa,adv.
367,367,13208,21449,chay taqa,adv.
368,368,14972,23213,chay,adj.
369,369,9364,17605,wawa,s
370,370,10266,18507,Ñ aw i,s
371,371,867,9061,qall ay kam un.,v
372,372,15031,23272,Chay,adj.
373,373,11270,19511,mill akun.,v
374,374,11890,20131,kan man ?,v
375,375,14435,22676,kar u mant araq,adj.
376,376,5628,13869,yachay sap ataq,adj.
377,377,7179,15420,aswan,adv.
378,378,9003,17244,añ asqa,s
379,379,2557,10772,W ak,adj.
380,380,5068,13295,Tayta,s
381,381,4705,12928,Uy w apa,s
382,382,9683,17924,tuku ku q,adj.
383,383,15054,23295,qat ay k uy .,v
384,384,10318,18559,"puk awan,",s
385,385,7406,15647,killa,s
386,386,10765,19006,Tayta,s
387,387,6065,14306,qhari,s
388,388,7396,15637,k' ull unt aq,s
389,389,8863,17104,su wata,s
390,390,13627,21868,ay un as pi,s
391,391,6853,15094,hap' in.,v
392,392,13640,21881,kill apiqa,s
393,393,8686,16927,Sap an,det.
394,394,8429,13559,¿ im all amantataq,pron.
395,395,7320,15561,U kh unchik,s
396,396,12612,20853,llaqta,s
397,397,2019,10226,manam,adv.
398,398,13556,21797,ima,adj.
399,399,13005,21246,chunka,adj.
400,400,10787,19028,kutich ip usq ayki !,v
401,401,12013,20254,Way r amanta,s
402,402,773,8967,Sar a,s
403,403,15057,23298,Run atataq,s
404,404,108,8294,ak ch iw anmi,s
405,405,7000,15241,J es uc r ist oqa,s
406,406,7714,15955,puq usq awan si,s
407,407,9487,17728,kamayuq,s
408,408,267,8457,W ak,det.
409,409,9371,17612,P aq uch aqa,s
410,410,7723,15964,ak asqan,v
411,411,13537,21778,tiy ana,s
412,412,8597,16838,K' us i,s
413,413,9217,17458,mikhuy ta,v
414,414,5794,14035,kus ikuy ña,s
415,415,2659,10874,¡ P uch k ata,s
416,416,14137,22378,pun kin an kama,adj.
417,417,13783,22024,pisill am,adv.
418,418,9776,18017,ancha,adv.
419,419,15415,18610,chay tam,pron.
420,420,8869,17110,Chay,det.
421,421,6630,14871,ch h ap chir qam uy .,v
422,422,4901,13125,I l aq t akun api.,s
423,423,12678,20919,way q' ukun apipas,s
424,424,7884,16125,"Waw akuna,",s
425,425,1321,9518,pak ir qu kus qa.,v
426,426,13622,21863,qur ataqa,s
427,427,3644,11864,tar pur q un.,v
428,428,994,9188,han l akun taqa,s
429,429,71,8257,uch uch ata,s
430,430,8749,16990,wan u wanmi,s
431,431,6469,14710,maq aq s i.,v
432,432,11598,19839,Chay,det.
433,433,10241,18482,ur m aspa,v
434,434,4359,12582,s int ach ina,s
435,435,7476,15717,all ayta,s
436,436,425,8617,at iy,v
437,437,1092,9286,m ik uy qa,s
438,438,14810,23051,l ast iku,s
439,439,4695,12918,M ich ka,s
440,440,6114,14355,kaw all ut aqa,s
441,441,1748,9953,I l uq s iyta,v
442,442,9877,18118,"pur iy kach an achu,",v
443,443,4799,13023,aq ach ata,s
444,444,11467,19708,m it k' aspa,v
445,445,3498,11718,ama,adv.
446,446,11527,19768,much i,s
447,447,4685,12908,sut um uyta,v
448,448,2614,10829,W ak,adj.
449,449,14249,22490,ña,adv.
450,450,8812,17053,q añ i watapas,s
451,451,5506,13743,aq s uta,s
452,452,264,8454,puriq kuna,s
453,453,7322,15563,s ill unch ik wan,s
454,454,5839,14080,Ch' aq uqa,s
455,455,10366,18607,kan,v
456,456,13968,22209,Ñ aw paq qa,adj.
457,457,14011,22252,yupaych ana,s
458,458,4877,13101,y um aynin,s
459,459,13246,21487,un uqa,s
460,460,6548,14789,waw aqa,s
461,461,7551,15792,hay t' ana,s
462,462,4888,13112,Kimsa,num
463,463,6648,14889,pachapiqa,s
464,464,10373,18614,nispa.,v
465,465,5965,14206,kawsan.,v
466,466,6070,14311,huk,det.
467,467,12399,20640,W ir n is,s
468,468,11504,19745,Yaku,s
469,469,13378,21619,kill apiqa,s
470,470,4960,13186,K ur sus,s
471,471,9306,17547,m u hu ta,s
472,472,13873,22114,kimsa,adj.
473,473,7800,16041,nispa,v
474,474,5711,13952,mas ich ay k im ant aqa,s
475,475,5862,14103,ch' ar kit aqa,s
476,476,84,8270,t un as ta,s
477,477,13437,21678,p hu kuspa,adj.
478,478,15285,23526,ay s ayku w anchik.,v
479,479,148,31121,Paykunaqa,pron.
480,480,14503,22744,kach iy uq taqa,s
481,481,682,8876,m ik uyta,s
482,482,3793,12015,karqa.,v
483,483,1135,9329,hu ch akun chik mi.,v
484,484,9332,17573,kich kay uq,s
485,485,7035,15276,¡ H aku chu,v
486,486,8766,17007,c ec in aku chun »,v
487,487,11395,19636,chay ray ku m,conj.
488,488,9911,18152,Is kut aqa,s
489,489,5641,13882,karqanku.,v
490,490,5889,14130,ch' as ka,s
491,491,5447,13683,ku ll ip as,adj.
492,492,5640,13881,kall pas ap ataq,adj.
493,493,8244,16485,wiñan.,v
494,494,6801,15042,at ill anchik mi.,v
495,495,5576,13817,chu pich aqa,s
496,496,290,8480,ku ll ip as,adj.
497,497,2092,10299,s ak s arq us p aqa,v
498,498,4700,12923,s unq un pipas,s
499,499,8514,16755,uy am,s
500,500,12319,20560,runakunaqa,s
501,501,8413,16654,huk,det.
502,502,9849,18090,« L ak aw it i,s
503,503,2727,10942,uy a.,s
504,504,9330,17571,millay,adj.
505,505,3134,11350,aq ata,s
506,506,8431,16672,k' int uk uy qa,s
507,507,8074,16315,ari,adv.
508,508,7567,15808,All qu taqa,s
509,509,1550,9755,Tar pun apaq,v
510,510,7786,16027,"k im s a,",s
511,511,1193,9390,Pacha,s
512,512,8375,16616,ich h u,s
513,513,5297,13529,ancha,adj.
514,514,5849,14090,Ch' aq uqa,s
515,515,14445,22686,qhat uq kunaqa,s
516,516,3702,11923,q ip isp am,v
517,517,9026,17267,uyw akunapas,s
518,518,369,8560,as inchik mi.,v
519,519,2348,10557,Pach ak,num
520,520,9241,17482,karqanku.,v
521,521,12641,20882,q' i pi n,adj.
522,522,552,8746,K uch iy ki ta,s
523,523,7208,15449,ukhu,s
524,524,5842,14083,ch' unch ull ninchik pi,s
525,525,3745,11966,su wan.,v
526,526,5260,13492,amar u,s
527,527,8141,16382,t uq ur un,s
528,528,7840,16081,huk,det.
529,529,10056,18297,nispa,v
530,530,5453,13689,rikch' akuq,adj.
531,531,7392,15633,sunqu,s
532,532,3641,11861,A ch k atam,adj.
533,533,2066,10273,mat ipi,s
534,534,10892,19133,q'ill ay,s
535,535,13209,21450,pu ll ir a,s
536,536,9650,17891,Chay,det.
537,537,12602,20843,S uw aqa,s
538,538,7971,16212,"tiyan,",v
539,539,6563,14804,ch' unch ull niyuq,s
540,540,7752,15993,mana,adv.
541,541,10834,19075,M ap ' a,adj.
542,542,14290,22531,kikin,adj.
543,543,4754,12978,w isq aqa,s
544,544,4840,13064,chakr aman,s
545,545,5913,14154,was k hat am,s
546,546,14382,22623,pus aw arqan.,v
547,547,12697,20938,qh ari ta,s
548,548,10209,18450,ll as aq,adj.
549,549,1339,9538,kall chaypim,v
550,550,4055,12278,mi kun apaq.,v
551,551,7372,15613,H at un kaq,adj.
552,552,2173,10380,ri kur irq usqa.,v
553,553,1979,10186,yanap an am.,v
554,554,12148,20389,"p apaq a,",s
555,555,14381,22622,yachachiq,s
556,556,2702,10917,pu ll ir anta,s
557,557,176,8362,An acha,s
558,558,8622,16863,mis k'it araq,adv.
559,559,10932,17290,Kay pas,pron.
560,560,4298,12521,runa,s
561,561,6767,15008,Ch' u ñ ut aqa,s
562,562,7601,15842,wasi,s
563,563,12651,20892,waw ankuta,s
564,564,7094,15335,may ll asqa,adj.
565,565,3962,12185,rurasq am.,v
566,566,7442,15683,haw ir qu kuy .,v
567,567,1706,9911,mi ku mun i.,v
568,568,6370,14611,kani.,v
569,569,3428,11648,run t un ku.,v
570,570,881,9075,Chu q ll uta,s
571,571,4079,12302,ull at uqa,s
572,572,5529,13768,¿ ham un kich u ?,v
573,573,406,8598,ast anku.,v
574,574,7489,15730,sar a,s
575,575,12299,20540,ñ ut qh un mantapas,s
576,576,4053,12276,kut ay,v
577,577,5878,14119,kam chay uq ta,s
578,578,3035,11251,iskay ll añ am.,num
579,579,11156,19397,allin,adj.
580,580,11906,20147,ku chun awan,s
581,581,15320,23561,ch' is in,adv.
582,582,6147,14388,rurasq aqa,v
583,583,8317,16558,hatun,adj.
584,584,4138,12361,u ñ an,s
585,585,3155,11371,siq ay.,v
586,586,8937,17178,"chay an,",v
587,587,13839,22080,pat ar aspa,adj.
588,588,8261,16502,pis qu .,s
589,589,13231,21472,Chayqa,adv.
590,590,2634,10849,rumi wan,s
591,591,13533,21774,unquy pas,s
592,592,9162,17403,K h all wa,s
593,593,11160,19401,runakunaqa,s
594,594,12521,20762,ukhu,adj.
595,595,11915,20156,m u ch' un pi,s
596,596,13580,21821,kimsa,adj.
597,597,14060,22301,wañ urq ap usq as.,v
598,598,5611,13852,hap'in a.,v
599,599,5795,14036,"kaptinpas,",v
600,600,3751,11972,suy ap akun i.,v
601,601,8993,17234,pisi,adj.
602,602,12422,20663,kun tu r,s
603,603,46,30454,ñuq ataq,pron.
604,604,4015,12238,imayna,adv.
605,605,4980,13206,Ñan,s
606,606,3925,12147,wañuch in ankupaq,v
607,607,0,21409,"ñuq achu,",pron.
608,608,1040,9234,tuta,s
609,609,5865,14106,h anku ll ata,s
610,610,12236,20477,nin.,v
611,611,2999,11215,Ay ak kuch uman,s
612,612,5646,13887,aw qan qa.,s
613,613,9615,17856,kay,v
614,614,7851,16092,kan ch aqa,s
615,615,4169,12392,uq i,adj.
616,616,6639,14880,unquy taqa,s
617,617,10965,19206,wiñan.,v
618,618,15091,23332,Q ayn aña,adv.
619,619,2340,10549,pach at a!,s
620,620,2585,10800,s uq urqu wan.,v
621,621,9143,17384,kh aku r ikun.,v
622,622,2104,10311,mill pun .,v
623,623,2784,11000,p ut ka,adj.
624,624,5898,14139,aypan man.,v
625,625,3411,11630,rumi kunata,s
626,626,10600,18841,pisiy achin .,v
627,627,9402,17643,añ as mantapas,s
628,628,13452,21693,chaymi,adv.
629,629,9912,18153,« q' at aw i »,s
630,630,6761,15002,rim ayt apuni,s
631,631,11444,19685,mis m isp all apuni,v
632,632,6813,15054,phaw aq,s
633,633,5322,13554,sumaq,adj.
634,634,299,8489,S unch u,s
635,635,944,9138,Chu s iq,s
636,636,11195,19436,All qu qa,s
637,637,4662,12885,warm ich am,s
638,638,4085,12308,p ik ant ita,s
639,639,9745,17986,qhipa,adj.
640,640,7837,16078,kan ch aqa,s
641,641,8565,16806,k' um uch i llaq puni,adj.
642,642,8709,16950,A rik ipa,s
643,643,10226,18467,ll aw sa,adj.
644,644,6578,14819,Ch h aku,adj.
645,645,9157,17398,huk,det.
646,646,13299,21540,hap' irq uspa,adv.
647,647,6268,14509,nan ay pas,s
648,648,4428,12651,t arikun .,v
649,649,2966,11182,Runakuna,s
650,650,11666,19907,waw ach ayki qa,s
651,651,13044,21285,yuraq,adj.
652,652,381,8572,Chay,det.
653,653,4578,12801,Ñawpa,adj.
654,654,13291,21532,t' im puch isq aku,v
655,655,1545,9750,K is war t aña,s
656,656,8004,16245,q as asqa,adj.
657,657,190,8376,am at akuy .,v
658,658,3944,12167,qur ill amant am.,s
659,659,12664,20905,q iw all as,s
660,660,10442,18683,haw ch' a,adj.
661,661,14469,22710,Papa,s
662,662,9233,17474,chay,det.
663,663,8268,16509,K' all an aqa,s
664,664,9127,17368,qam usqa.,v
665,665,7032,15273,chu w api,s
666,666,28,27335,Ñ uq ataq,pron.
667,667,12686,20927,Ima,adj.
668,668,13110,21351,qhat akunapi,s
669,669,11836,20077,tarip arq un.,v
670,670,163,8349,pak i kur q usq am.,v
671,671,279,8469,allpa,s
672,672,12919,21160,ham pi.,s
673,673,10191,18432,all iy achin .,v
674,674,11549,19790,much uy,s
675,675,13852,22093,isq un niyuq,adj.
676,676,9443,17684,ku w ahu wan,s
677,677,806,9000,ch uk ch antam,s
678,678,9032,17273,uyw akunapas,s
679,679,11937,20178,rin ?,v
680,680,13711,21952,t us un.,v
681,681,2267,10476,r is aq mi !,v
682,682,8665,16906,mana,adv.
683,683,12907,21148,"at inchik ,",v
684,684,10457,18698,runakunaqa,s
685,685,2489,10703,aych atam,s
686,686,9465,17706,qh un anku.,v
687,687,997,9191,wañuch in a.,v
688,688,1950,10156,puñ ur qan i.,v
689,689,10096,18337,man kach akunatapas,s
690,690,7240,15481,aku ll in.,v
691,691,7759,16000,« m u u u u »,interj.
692,692,192,31147,Paykunaqa,pron.
693,693,2747,10962,puq un.,v
694,694,10750,18991,mar q' ar ip u way !,v
695,695,10584,18825,sutiyuq,s
696,696,8717,16958,ch'ak in an paq pas,v
697,697,4032,12255,t uy t un.,v
698,698,10107,18348,Hu k' uch ataqa,s
699,699,8110,16351,chakr akunata,s
700,700,9881,18122,manam,adv.
701,701,3566,11786,M is ip a hin am,s
702,702,2854,11070,anka,s
703,703,9656,17897,u h u,s
704,704,3147,11363,qispich iq mi,s
705,705,2905,11121,M ikun ankupaq,v
706,706,11864,20105,muy ut awan,s
707,707,10015,18256,h is p' akun pas,v
708,708,2116,10323,taq s ay,s
709,709,12736,20977,huk,adj.
710,710,12151,20392,kaq taq,conj.
711,711,3821,12043,Tak iq ta,s
