,sentence_id,words,labels
3030,674,",",O
11012,2424,',O
94,23,Alma,O
5209,1142,mama,I-ORG
8100,1786,),I-LOC
7217,1595,Hayt'ay,I-ORG
10155,2241,Gran,I-LOC
7125,1571,Velasco,I-PER
15011,4579,Sunturnin,I-ORG
14961,4562,Soraro,B-PER
1819,398,'Taraxacum,O
5473,1202,raymi,I-ORG
2079,456,ginecólogo,O
8330,1839,Zhelyu,B-PER
440,106,ruphay,I-ORG
17134,5319,De,I-PER
11760,2740,Pampas,I-LOC
3425,763,Piluta,B-ORG
2642,585,parki,I-ORG
3320,738,Llaqtap,I-ORG
17188,5339,Torres,I-PER
3851,860,Hayt'ay,I-ORG
3789,847,Carl,B-PER
10489,2315,Isiboro,B-ORG
5358,1180,Gervasi,I-LOC
9671,2133,Piluta,B-ORG
15008,4579,Federico,I-ORG
601,140,',O
10600,2337,Las,I-PER
6239,1376,Piray,B-LOC
14297,4137,Sullana,B-LOC
13379,3536,distritu,I-LOC
3334,740,Kupa,I-ORG
10898,2400,sutichaypa,O
2640,585,mama,I-ORG
13147,3367,distritu,I-LOC
9035,1993,",",O
16305,5056,José,B-PER
11989,2847,Awankay,B-LOC
9030,1991,',O
4845,1066,.,O
7283,1610,.,O
10529,2322,Pachantin,I-ORG
7977,1758,para,O
9816,2160,',O
11966,2835,distritu,I-LOC
10087,2224,',O
4106,912,Siwar,B-LOC
6363,1401,),O
13985,3942,Ricardo,B-LOC
8223,1818,Huñu,I-ORG
9314,2053,Sallqa,I-ORG
10974,2415,),O
14273,4120,Chawpimarka,B-LOC
6958,1536,-,O
14869,4484,Pedrochu,B-PER
16583,5139,Vásquez,I-PER
7825,1724,',O
11481,2622,Camporredondo,B-LOC
1137,259,Tumas,I-LOC
5576,1229,1,O
6456,1423,Cuvierpa,I-PER
2652,588,Qipa,B-ORG
17211,5347,parki,I-LOC
9528,2101,Llaqtap,I-ORG
3520,785,PUSAPUNA,O
17044,5289,de,I-PER
6815,1504,1990,I-ORG
12953,3274,distritu,I-LOC
16288,5051,Ángel,I-PER
2644,586,Piruw,B-ORG
10211,2251,Sunturnin,I-ORG
365,88,',O
10338,2281,Pachantin,I-ORG
8234,1819,),O
4229,935,Cervantes,I-PER
9219,2034,(,I-LOC
1253,285,Hayt'ay,I-ORG
2102,462,chaku,I-ORG
3359,746,pusapuna,O
723,165,rimaykunamanta,O
6979,1540,',O
8594,1892,PUSAPUNA,O
5858,1293,.,O
15187,4650,Jacinto,B-PER
3046,678,Alan,B-PER
6828,1507,Lima,B-LOC
3178,706,T'uru,B-ORG
15322,4705,Castro,I-PER
8197,1811,',O
4955,1086,distritu,I-LOC
16883,5235,Abraham,B-PER
2127,468,.,O
15879,4915,Daniel,I-PER
10396,2294,Sami,B-PER
1359,307,pusapuna,O
9576,2111,Anqash,B-LOC
8961,1975,Manuel,B-PER
7888,1738,Theatre]],O
3207,713,Luna,I-PER
17159,5329,Emma,B-PER
1901,416,iskay,I-PER
16948,5258,Roger,B-PER
354,87,Kañiti,B-LOC
1929,422,Hungría,I-LOC
9223,2035,AC,B-ORG
2675,593,Kupa,I-ORG
5325,1172,Piluta,B-ORG
14232,4094,Ilu,B-LOC
714,163,),O
8919,1965,),O
13230,3421,Tantara,B-LOC
12866,3240,Waranqu,B-LOC
5794,1279,Uchuy,B-LOC
9490,2092,Q'imi,B-LOC
6749,1489,",",O
14103,4013,Putumayu,B-LOC
8069,1779,Pachantin,I-ORG
15189,4650,Maldonadopa,I-PER
9966,2195,Deschamps,I-PER
6763,1492,Nui,I-ORG
8355,1844,.,O
17054,5291,González,I-PER
9968,2195,.,O
6594,1454,marka,I-LOC
6677,1473,Kamasqa,O
11390,2582,Aramango,B-LOC
13413,3556,La,B-LOC
17493,5421,Pariwana,B-LOC
13274,3459,Kusikancha,B-LOC
3880,863,-,O
13839,3843,Etén,B-LOC
9797,2157,Yakuywa,B-LOC
5165,1132,suyu,I-LOC
10951,2410,.,O
7669,1689,),O
4857,1069,Sankay,B-ORG
1239,282,.,O
16521,5121,Ascensio,I-PER
11705,2717,distritu,I-LOC
15100,4603,Daniela,B-PER
2442,540,Guerra,I-PER
10872,2395,(,O
16984,5269,Shafiishuna,I-PER
11842,2776,Escudero,I-LOC
13000,3298,Kachimayu,B-LOC
6432,1418,Chakamarka,B-ORG
3203,713,.,O
12955,3275,distritu,I-LOC
12562,3104,Saysa,B-LOC
13121,3355,Virgen,I-LOC
11946,2824,distritu,I-LOC
746,169,CCP,O
3386,752,Bermúdez,I-PER
13038,3316,distritu,I-LOC
15431,4741,Murillo,I-PER
12932,3266,Huñu,B-LOC
12985,3290,distritu,I-LOC
15957,4941,Zela,I-PER
7614,1676,Piluta,B-ORG
672,154,',O
13119,3354,distritu,I-LOC
11242,2526,Anqas,B-LOC
17524,5436,Huch'uy,B-LOC
5157,1131,Silveira,I-PER
16212,5025,Adelmar,I-PER
10671,2352,Pakaya-Samirya,B-LOC
2241,495,Musuq,B-LOC
14729,4407,Nueva,I-LOC
8611,1896,Waqaqpa,I-PER
8465,1864,manam,O
1144,260,",",O
17153,5326,Ivanova,I-PER
5457,1199,),O
3222,717,.,O
6536,1439,Asway,I-LOC
17112,5310,Hugopa,I-PER
12504,3078,Chaka,B-LOC
11147,2465,Inkawasi,B-LOC
11244,2526,distritu,I-LOC
8110,1788,sallqa,I-ORG
2575,571,Miroslav,B-PER
3431,764,2011-2014,O
12581,3113,Rawakayku,B-LOC
4885,1074,Cruz,I-PER
16322,5059,Pérez,I-PER
890,203,Taqna,B-LOC
11421,2596,distritu,I-LOC
7240,1599,van,I-PER
16564,5133,Licinius,I-PER
16243,5036,Henri,I-PER
12962,3279,Anta,B-LOC
115,26,',O
6178,1363,Hayt'ay,I-ORG
4713,1034,',O
13440,3572,Churas,B-LOC
9397,2075,parki,I-ORG
3786,846,(,O
7833,1725,Preludio,O
15507,4766,Carmen,I-PER
8674,1908,Centre,B-LOC
4647,1021,Antofagasta,B-LOC
16647,5157,Martín,B-PER
13277,3462,Qirqu,B-LOC
9920,2184,Lima,B-LOC
3082,685,Schumann,I-PER
8565,1886,sp,O
5840,1288,1994,I-ORG
2065,453,suyu,I-ORG
2948,657,",",O
9634,2123,),O
2311,509,',O
17270,5362,willkachasqa,I-LOC
4958,1087,Waqllisqan,I-ORG
7784,1715,Gianni,B-PER
8765,1929,(,O
11557,2653,distritu,I-LOC
1250,284,Kungu,B-LOC
16699,5173,Asturias,I-PER
3248,721,),I-LOC
13319,3491,pruwinsya,I-LOC
9274,2046,Lachay,B-LOC
4319,955,Pedro,I-LOC
11252,2530,distritu,I-LOC
16106,4988,Christensenpas,I-PER
13879,3869,Muchumi,B-LOC
16091,4983,Bracho,I-PER
14198,4068,Fitzcarrald,B-LOC
7823,1723,Kupa,I-ORG
5203,1140,Hayt'ay,I-ORG
8218,1817,llaqtanqa,I-LOC
14727,4406,distritu,I-LOC
10331,2280,Amutapi,B-ORG
4629,1018,la,I-PER
6631,1463,wiru,I-LOC
5400,1186,parkipi,I-ORG
15433,4742,Herrera,I-PER
14971,4567,Rimana,I-ORG
16353,5067,Zorrilla,I-PER
3910,869,.,O
1376,311,',O
4026,893,",",O
7482,1651,>,O
13501,3605,Changuillo,B-LOC
6687,1474,(,I-LOC
10220,2254,Hayt'ay,I-ORG
7231,1598,Chulumani,B-LOC
15015,4580,La,I-ORG
6710,1479,mama,I-LOC
13470,3590,Wakarpana,B-LOC
15714,4851,Daniel,B-PER
6574,1449,Hayt'ay,I-ORG
4528,997,Chakamarka,B-ORG
5419,1190,yanapaqninsi,O
11062,2436,Armando,I-PER
